totSNR,epLat,epLon,evDp,epTime,lat,lon,elev,filePathE,filePathN,filePathZ
25.76,-22.36,-68.69,118.7,2010-03-04T22:09:29.824998Z,-84.7199,-171.2017,407.4,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.SURP..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.SURP..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.SURP..BHZ__20100304T220929Z__20100304T230929Z.mseed
24.53,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,-82.3695,-119.4135,944.9,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.WNDY..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.WNDY..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.WNDY..BHZ__20100304T220929Z__20100304T230929Z.mseed
20.92,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,-82.069,-109.1247,1792.5,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.ST02..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.ST02..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.ST02..BHZ__20100304T220929Z__20100304T230929Z.mseed
15.28,-22.36,-68.69,118.7,2010-03-04T22:09:29.824998Z,-78.0297,-155.0221,539.7,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.MPAT..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.MPAT..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.MPAT..BHZ__20100304T220929Z__20100304T230929Z.mseed
39.74,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,-77.8378,-134.0802,1643.8,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.ST14..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.ST14..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.ST14..BHZ__20100304T220929Z__20100304T230929Z.mseed
19.37,-22.36,-68.69,118.7,2010-03-04T22:09:29.819500Z,33.4915,-116.667,1301.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AZ.BZN..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AZ.BZN..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AZ.BZN..BHZ__20100304T220929Z__20100304T230929Z.mseed
15.05,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,33.494701,-116.602203,1164.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AZ.FRD..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AZ.FRD..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AZ.FRD..BHZ__20100304T220929Z__20100304T230929Z.mseed
18.46,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,33.947765,-116.644653,520.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YG.STA03..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YG.STA03..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YG.STA03..BHZ__20100304T220929Z__20100304T230929Z.mseed
61.28,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,28.8473,-98.557602,121.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.734A..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.734A..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.734A..BHZ__20100304T220929Z__20100304T230929Z.mseed
49.71,-22.36,-68.69,118.7,2010-03-04T22:09:29.815000Z,32.0937,-104.487701,1128.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/XR.SC60..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/XR.SC60..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/XR.SC60..BHZ__20100304T220929Z__20100304T230929Z.mseed
