Idx,Net,Sta,epLat,epLon,evDp,epTime,Lat(deg),Lon(deg),elev,Az(deg),EpDis(deg),snrZ,snrR,snrT,filePathE,filePathN,filePathZ
130,IU,HKT,-22.36,-68.69,118.7,2010-03-04T22:09:29.832905Z,29.9618,-95.8384,-413.0,332.22575188881535,58.26,21.56,4.49,3.76,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IU.HKT.00.BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IU.HKT.00.BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IU.HKT.00.BHZ__20100304T220929Z__20100304T230929Z.mseed
137,IU,SSPA,-22.36,-68.69,118.7,2010-03-04T22:09:29.823463Z,40.6358,-77.8876,270.0,352.1708164276358,63.30,3.96,2.03,4.60,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IU.SSPA.00.BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IU.SSPA.00.BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IU.SSPA.00.BHZ__20100304T220929Z__20100304T230929Z.mseed
138,IU,WCI,-22.36,-68.69,118.7,2010-03-04T22:09:29.848133Z,38.2289,-86.2939,210.0,344.4214921448545,62.54,3.80,1.29,4.69,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IU.WCI.00.BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IU.WCI.00.BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IU.WCI.00.BHZ__20100304T220929Z__20100304T230929Z.mseed
141,IW,DLMT,-22.36,-68.69,118.7,2010-03-04T22:09:29.815000Z,45.3625,-112.5964,1569.0,330.0586345961513,78.40,12.91,4.16,3.04,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.DLMT..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.DLMT..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.DLMT..BHZ__20100304T220929Z__20100304T230929Z.mseed
142,IW,FLWY,-22.36,-68.69,118.7,2010-03-04T22:09:29.815000Z,44.083002,-110.699888,2078.0,330.26684044715256,76.55,30.26,5.97,3.49,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.FLWY..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.FLWY..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.FLWY..BHZ__20100304T220929Z__20100304T230929Z.mseed
144,IW,IMW,-22.36,-68.69,118.7,2010-03-04T22:09:29.814900Z,43.89303,-110.94343,2552.0,330.0028345940408,76.52,17.56,9.42,5.48,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.IMW..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.IMW..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.IMW..BHZ__20100304T220929Z__20100304T230929Z.mseed
145,IW,LOHW,-22.36,-68.69,118.7,2010-03-04T22:09:29.815000Z,43.6124,-110.6038,2121.0,330.0130304009545,76.14,18.47,3.62,4.85,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.LOHW..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.LOHW..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.LOHW..BHZ__20100304T220929Z__20100304T230929Z.mseed
146,IW,MFID,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,43.4151,-115.8278,1302.0,326.97119026866466,78.53,36.86,7.37,4.73,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.MFID..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.MFID..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.MFID..BHZ__20100304T220929Z__20100304T230929Z.mseed
147,IW,PHWY,-22.36,-68.69,118.7,2010-03-04T22:09:29.815000Z,41.3016,-105.4577,2645.0,331.6830311077848,71.99,14.05,4.66,6.75,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.PHWY..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.PHWY..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.PHWY..BHZ__20100304T220929Z__20100304T230929Z.mseed
149,IW,REDW,-22.36,-68.69,118.7,2010-03-04T22:09:29.815000Z,43.3624,-110.8518,2192.0,329.7052735456015,76.07,24.42,6.88,4.91,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.REDW..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.REDW..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IW.REDW..BHZ__20100304T220929Z__20100304T230929Z.mseed
